卷	1664
朱	1662
岩	1661
庙	1659
羽	1657
谷	1656
殿	1654
争	1651
桂	1649
字	1647
药	1647
禅	1645
干	1629
倚	1619
遗	1612
异	1612
迹	1610
易	1602
舍	1595
丝	1594
夏	1593
尔	1593
贵	1592
宴	1591
交	1588
荒	1586
乘	1585
」	1582
欢	1573
他	1568
饮	1567
钟	1565
美	1563
拂	1557
要	1557
忧	1556
锦	1555
教	1544
酬	1542
著	1535
栖	1532
力	1526
音	1524
梁	1523
薄	1519
友	1518
惜	1517
阙	1506
念	1502
劳	1501
赋	1498
杯	1496
内	1494
灯	1493
任	1490
臣	1489
飘	1485
湘	1484
啼	1479
骑	1470
守	1466
越	1459
占	1459
郊	1458
遇	1457
忘	1456
迎	1452
引	1436
荣	1434
兼	1430
宁	1426
缘	1426
永	1425
由	1422
韵	1420
战	1420
苔	1419
住	1412
桥	1396
宝	1396
郡	1396
细	1396
岳	1396
良	1394
劒	1390
齐	1390
侯	1388
船	1388
面	1385
原	1380
莲	1379
但	1378
取	1373
弦	1368
素	1367
惟	1365
折	1364
拟	1363
报	1361
礼	1352
目	1352
顾	1350
贫	1348
极	1347
精	1346
偏	1335
低	1334
壁	1334
破	1332
论	1327
鼓	1326
冷	1324
条	1315
岭	1310
许	1309
法	1307
院	1300
宜	1299
虎	1298
息	1297
陈	1291
渐	1290
轩	1289
稀	1286
载	1284
采	1283
周	1283
必	1280
变	1279
持	1271
魂	1270
摇	1270
叹	1269
史	1269
骨	1264
眠	1263
户	1258
怨	1258
彩	1256
翻	1256
衰	1256
蓬	1252
雁	1248
土	1246
赴	1243
迷	1243
想	1241
罢	1238
幸	1237
而	1235
映	1235
偶	1234
列	1233
举	1232
失	1221
鸡	1220
怅	1216
接	1216
片	1216
理	1216
斋	1213
「	1209
钓	1203
鬓	1200
蜀	1199
频	1199
村	1199
藏	1198
梅	1197
制	1194
悬	1192
尊	1190
傍	1186
众	1185
俗	1183
代	1181
帘	1175
井	1173
渔	1172
志	1172
凝	1171
纷	1170
性	1168
盘	1166
倾	1160
冰	1155
根	1155
掩	1154
宅	1154
形	1152
业	1148
佳	1148
献	1148
洲	1147
收	1145
枕	1145
房	1145
浦	1140
全	1140
修	1140
刘	1137
径	1135
泛	1133
访	1132
孙	1131
封	1128
室	1128
眉	1128
既	1127
暂	1124
图	1122
端	1122
弟	1121
携	1118
急	1117
昏	1111
帆	1111
司	1109
泥	1103
鸿	1103
指	1100
伴	1100
冥	1100
称	1096
沧	1094
邻	1093
暖	1089
狂	1089
馆	1081
被	1074
县	1074
机	1074
莺	1071
比	1071
营	1071
最	1067
晨	1064
敢	1061
那	1057
秀	1057
渡	1056
每	1053
参	1052
承	1052
种	1048
冠	1044
旗	1044
荆	1042
牛	1042
角	1041
雄	1040
再	1039
蝉	1039
积	1035
吏	1034
也	1031
象	1028
管	1026
银	1025
肠	1024
次	1023
仍	1023
赏	1022
床	1020
冬	1015
蒙	1015
丘	1013
旅	1012
侵	1010
雾	1007
扬	1007
盛	1006
兹	1001
笔	1000
途	999
崔	998
殊	997
